file_name,tagging_vitgpt2,florence_short,florence_long
e6701c367a954086bd78c69c9f5ce0d3.jpg,a bowl of fruit and vegetables on a table ,A variety of fruits and nuts on a blue table.,"The image is a flat lay of various fruits and vegetables arranged on a
blue wooden background. On the left side of the image, there is a
white bowl filled with cashew nuts. Next to the bowl, there are sliced
carrots, almonds, walnuts, and sliced tomatoes. In the center of the
table, there appears to be a sliced beetroot with a green leaf on top.
The beetroot is cut in half, revealing its red flesh. The walnuts are
scattered around the beetroot, and the tomatoes are cut into thin
slices. The overall color scheme of the background is blue and green."
8f228208e9664bfc9f81cbada1e54cfc.jpg,two sheep are standing in a field ,A herd of sheep standing on top of a lush green field.,"The image shows a group of three sheep in a field. The field is
covered in green grass and there are trees in the background. The
sheep are standing close together, with one sheep in the center and
two on either side. The one on the left is a dark brown color, while
the one in the middle is a lighter shade of brown. All three sheep
have long, shaggy fur and appear to be grazing on the grass. The sky
is overcast and the overall mood of the image is peaceful and serene."
f30287c114204141b64c0520eea2d85b.jpg,a bowl of vegetables and a fork ,A wooden bowl filled with fruit and vegetables on top of a wooden table.,"The image shows a wooden bowl filled with a colorful salad. The salad
is made up of various types of vegetables, including sliced oranges,
red bell peppers, cucumbers, and orange slices. The vegetables are
arranged in a circular pattern in the bowl, with some overlapping each
other. The bowl is placed on a wooden table, and there is a wooden
hookah pipe resting on the side of the bowl. The hookah is made of
wood and has a red handle with a curved end. The background is
blurred, but it appears to be a rustic wooden table."
61edf29f2e93445cb2d7659a0161d361.jpg,two men standing next to each other in a room ,A man in a blue shirt and a man in red shirt making a stop sign.,"The image shows three men standing side by side and making a peace
sign with their hands. The man on the left is wearing a blue t-shirt,
blue jeans, and glasses. He has a beard and mustache and is smiling at
the camera. In the middle, there is a man wearing a grey baseball cap
and a gray t-shirts. He is also smiling and making the peace sign. The
background is white. All three men are wearing casual clothes and
appear to be happy and relaxed."
7ad97bd7d6704ed791947c700b3a1035.jpg,a flower in a vase with a flower in the middle ,A red flower with green leaves in the background.,"The image is a close-up of a red flower in a garden. The flower has
multiple layers of petals that are arranged in a star-like pattern,
with each layer having a small black center. The petals are a bright,
vibrant red color and appear to be slightly curled at the edges. The
center of the flower is a darker shade of red, and it is surrounded by
green leaves. The background is blurred, but it appears to be a garden
bed with soil and other plants. The overall mood of the image is
bright and cheerful."
620fcfc3151a4e80a4a16719bc979344.jpg,a woman sitting on a bench holding a laptop ,A pregnant woman sitting on a bench using a tablet computer.,"The image shows a young woman sitting on a white bench in a park. She
is wearing a grey long-sleeved shirt and blue jeans. She has shoulder-
length dark hair and is smiling at the camera. The woman is holding a
black tablet in her hands and appears to be engrossed in it. The
background is blurred, but it seems to be a grassy area with trees and
greenery. The overall mood of the image is happy and relaxed."
c940d9d3b4294893b6423a302eec6cf0.jpg,a woman in a black jacket and black pants standing in front of a building ,A woman in a fur coat and sunglasses standing in the snow.,"The image shows a young woman standing in front of a wooden cabin in
the snow. She is wearing a long, grey fur coat with a black turtle
neck sweater underneath. She has long blonde hair that is styled in
loose curls and is wearing sunglasses. The cabin has green shutters
and is surrounded by a wooden fence. The sky is overcast and the
ground is covered in snow. The woman is looking off to the side with a
serious expression on her face."
bb736da7b1a1453285b54c5eec843b0f.jpg,a woman in a pink dress holding a pink umbrella ,A woman in an orange and pink sari holding shopping bags.,"The image shows a young woman wearing a traditional Indian saree in
orange and pink colors. She is standing in front of a white background
and is holding multiple shopping bags in her hands. The woman is
wearing a pink blouse with a gold border and a matching dupatta draped
over her shoulders. She has long dark hair styled in loose curls and
is smiling at the camera. The bags are of different colors - pink,
orange, yellow, green, blue, and purple. The overall look is elegant
and festive."
21850284946240bcb85c9d5328347674.jpg,a plate of food with a variety of foods ,A wooden platter filled with different types of food.,"The image shows a wooden platter with various types of food arranged
on a purple tablecloth. On the left side of the platter, there is a
small bowl of green salad with fresh strawberries and arugula. Next to
it, there are two whole wheat bread rolls with sesame seeds on top. In
the center of the image, on the right side, there appears to be a
wooden plate with sliced ham and cheese. The platter is placed on a
wooden cutting board. The background is blurred, but it seems like the
table is set up for a meal."
b565ee262e7142d1bbaae93b089b87ad.jpg,a woman holding a pink flower in her hand ,A woman wearing a pink face mask holding a green leaf.,"The image shows a young woman with curly hair wearing a pink face
mask. She is holding a large green monstera leaf in her right hand and
is looking directly at the camera with a serious expression. The
background is a soft pink color. The woman's hair is styled in loose
curls and she is wearing gold hoop earrings. The overall mood of the
image is tropical and summery."
8ea3ab854a8b40338c47a7a92163d6e4.jpg,a large mountain range with a mountain range ,A golf course with a mountain in the background.,"The image is of a beautiful golf course with a stunning view of
Yosemite National Park in the background. The course is well-manicured
with lush green grass and trees on both sides. In the center of the
image, there is a large rock formation, which appears to be a mountain
peak. The sky is blue and clear, and the sun is shining through the
trees, creating a warm glow on the scene. The overall atmosphere is
peaceful and serene."
a25604e0195c437fbd57c4a7ed6052ca.jpg,a black and white bird standing on a rock ,A black and white bird sitting on top of a rock.,"The image shows a bird perched on a rock with its wings spread wide.
The bird is facing towards the right side of the image and appears to
be in mid-flight. It has a black head and neck, with a white body and
wings. The rock is covered in yellow lichen and there is a blurred
background of greenery. The image is taken from a low angle, looking
up at the bird."
64afc7ff1d76422da5b3d3989734ba56.jpg,a bowl of fruit with a knife and a lemon ,A glass of olive oil next to some olives and bread.,"The image shows a flat lay of a black slate board with a glass of
olive oil and a slice of bread on the right side. The olive oil is in
the center of the board and is a bright green color. On the left side
of the image, there are several small green olives scattered around
the board. The bread is cut in half and appears to be freshly baked.
The background is a dark grey color, giving the image a rustic and
natural feel."
94fc176252b34938ad98c62988db3a6c.jpg,a man and woman are sitting on a bed ,A man and woman sitting on the floor in front of a Christmas tree.,"The image shows a young family of three - a man, a woman, and a baby -
sitting on a yellow furry rug in front of a Christmas tree. The tree
is decorated with pink and white ornaments and lights, and there are
several gift boxes scattered around it. The family is sitting on the
floor in a bedroom with a pink bed in the background. The man is
holding the baby in his arms and the woman is looking at him with a
smile on her face. The baby is wearing a white onesie and is looking
up at the man with a curious expression. The room has a wooden floor
and a pink wall with a wreath hanging on it."
2ee3863a699d4277962b76e890e690cf.jpg,a black and white photo of a bare ground ,A close up of a piece of plywood on a wall.,"The image is a close-up of a textured surface made up of small,
irregularly shaped pieces of wood. The wood appears to be a light
beige color and has a rough, textured appearance. The surface is
uneven and uneven, with some areas appearing darker and others
lighter. There are a few small, darker pieces scattered throughout the
surface, creating a sense of depth and dimension. The image is taken
from a top-down perspective, looking down on the wood."
a62c39cd1dfc47d7af88f21998cf7156.jpg,a large building with a large clock on it ,A large brown building next to a body of water.,"The image shows a large, two-story building with a flat roof. The
building is made of brick and has multiple windows on each floor. The
exterior of the building is covered in small windows, and there are
several balconies on the top. The sky is blue with some clouds, and
the building appears to be located next to a body of water. There are
trees and other buildings in the background, and a few people can be
seen walking on the sidewalk in front of the buildings. The overall
atmosphere of the image is peaceful and serene."
db67dbe458564539895454ac78b2ad85.jpg,"a living room with a couch, chair, and a mirror ",Two chairs and a table in front of a green wall.,"The image shows a living room with a green wall and a gold framed
picture hanging above it. On the left side of the image, there is a
gray armchair with wooden legs and a round wooden coffee table in
front of it. Next to the armchair, there are two green armchairs with
a tufted backrest and armrests. The floor is covered with a light-
colored rug and there are several potted plants on either side. The
overall style of the room is modern and minimalistic."
59dbf352011d4e4d800129431d93134f.jpg,a young boy is eating a chocolate cake ,A young boy holding a bucket of popcorn with his mouth open.,"The image shows a young boy holding a red and white striped bucket of
popcorn. He is standing in front of a plain white background and is
looking up at the camera with a surprised or shocked expression on his
face. His eyes are wide open and his mouth is slightly open, as if he
is about to take a bite out of the popcorn. His hair is short and
brown, and he is wearing a striped shirt."
41fa2753754b4a378f05e8f6964ab771.jpg,a woman holding a cake with a child ,A woman holding a birthday cake with a little girl in a party hat.,"The image shows a young girl wearing a pink party hat and holding a
large cake with three lit candles on top. The cake is decorated with
blueberries, blackberries, and green grapes. The girl is standing in a
kitchen with a refrigerator and a microwave in the background. She is
looking down at the cake with a smile on her face."
5f889e56314f455fbe8b7bf713f2b471.jpg,a woman in a black dress holding a wii remote ,A group of women lifting weights in a gym.,"The image shows a young woman lifting a barbell in a gym. She is
wearing a red sports bra and grey leggings, and her hair is pulled
back in a ponytail. The woman is standing in front of a large window,
and there are other gym equipment visible in the background. Other
women can be seen in the distance, also lifting weights. The image is
taken from a low angle, looking up at the woman lifting the barbell.
The lighting is dim, and the overall mood of the image is focused and
intense."
616549eb149b4b22b5e6529986004a73.jpg,a small baby zebra standing in a field ,A couple of ground squirrels standing on top of a lush green field.,"The image shows two ground squirrels in a grassy field. The squirrel
on the left is standing on its hind legs with its front paws on the
ground, looking up towards the sky. It has a light brown fur coat with
darker brown patches on its face and back. Its eyes are wide open and
its mouth is slightly open, as if it is about to take a bite out of
something. The background is blurred, but it appears to be a green
field with patches of grass and shrubs. The overall mood of the image
is peaceful and serene."
52803e5761a948d9a1fccba69e09c5ad.jpg,a person with a pair of shoes standing on a sidewalk ,A group of people running in a marathon.,"The image shows a group of people running on a road. The focus of the
image is on the legs of the person in the foreground, who are wearing
bright yellow compression socks and running shoes. The person's legs
are slightly bent at the knees and their feet are slightly apart. The
background is blurred, but it appears to be a busy street with other
runners and spectators. The image is taken from a low angle, looking
down on the runners."
d37eeee25a974381be6369a13de04f2d.jpg,a woman in a blue shirt is looking at her cell phone ,A woman holding a cup of coffee on a balcony.,"The image shows a young woman standing on a balcony with a view of a
city and mountains in the background. She is wearing a denim jacket
and is holding a black coffee cup in her right hand. The woman has
long brown hair and is looking off to the side with a thoughtful
expression on her face. The sky is overcast and the overall mood of
the image is peaceful and contemplative."
c0edfaa608254af4b07d653fbf064dc7.jpg,a street with a building and trees ,A narrow street with a yellow building and a white door.,"The image shows a narrow street with a yellow building on the left
side and a white door on the right side. The building has a red tiled
roof and is surrounded by trees and bushes. The street is lined with a
brick sidewalk and there are other houses visible in the background.
The sky is overcast and the overall atmosphere of the image is quiet
and peaceful."
a688943ee2bc458cb1c5aace9c708692.jpg,a man in a suit standing in a hallway ,A man in a suit walking down a long hallway.,"The image shows a man in a black suit walking through a long, white
corridor with a high ceiling. The corridor is made up of multiple rows
of white pillars that are arranged in a straight line, creating a
sense of depth and dimension. The man is facing away from the camera,
with his back towards the viewer. He appears to be deep in thought,
with a serious expression on his face. The overall mood of the image
is somber and contemplative."
c89977c50a3144aba67ae3d2dd056366.jpg,a woman with a red and white face and a green neck tie ,A woman with an afro smiles at the camera.,"The image is a close-up portrait of a young African-American woman
with curly hair. She is smiling widely and looking directly at the
camera. She has a big smile on her face and her eyes are bright and
full of life. The woman is wearing a purple blazer over a yellow
turtleneck sweater. The background is blurred, but it appears to be a
city street at night with buildings and lights. The overall mood of
the image is happy and confident."
6f011b5241804422ba0cae5d0491ae5f.jpg,a small table with a computer and a bicycle ,A computer sitting on top of a white desk next to a bike.,"The image shows a white desk with a computer monitor and a white chair
in front of it. The desk is made of wood and has a simple design with
a curved top and four legs. The computer monitor is turned on and the
screen is blank. On the left side of the desk, there is a white
bicycle with a black seat and handlebars. The background is a gray
concrete wall with a textured pattern. The floor is also white and the
overall aesthetic of the image is minimalistic and modern."
6214ee42cc7a4707b97f1ee53c0244b9.jpg,a woman in a red shirt talking on a cell phone ,A woman in a yellow sweater and headphones covering her eyes with her hands.,"The image shows a young woman with long blonde hair, wearing a yellow
sweater and yellow headphones. She is standing against a purple
background and is covering her eyes with her hands, as if she is
laughing or enjoying the music she is listening to. Her eyes are
closed and her mouth is open, showing her teeth. She appears to be
happy and relaxed."
4afc46d326bf43a28d571b2a2cb1c1d9.jpg,two women are sitting at a table with a cup of coffee ,A woman and a woman standing in a kitchen holding plates of cookies.,"The image shows two women in a kitchen. They are both wearing pink
sweaters and are standing in front of a white countertop. The woman on
the left has short grey hair and is holding a plate of freshly baked
cookies. She is smiling and looking at the camera. On the countertop,
there is a white mug and a basket of cookies. The kitchen has white
cabinets and a large window in the background. The overall mood of the
image is happy and relaxed."
a314589cac7846498aa270285ca44fa6.jpg,a girl wearing a red jacket and a red scarf ,A woman in a yellow raincoat and a red beanie.,"The image shows a young woman with curly red hair wearing a yellow
raincoat and a maroon beanie. She is standing in front of a chain-link
fence with a blurred background of trees and grass. The woman is
looking directly at the camera with a serious expression on her face.
Her hands are clasped together in front her face, as if she is deep in
thought. The overall mood of the image is somber and contemplative."
9725b27dd62046a1bb9dd8e6b550bb07.jpg,a man wearing a tie and a shirt ,A man in a pink shirt and tie with his arms crossed.,"The image is a portrait of a young man standing with his arms crossed.
He is wearing a pink collared shirt with a white polka dot pattern and
a pink striped tie. He has a brown belt around his waist and a watch
on his left wrist. The man has short dark hair and is looking directly
at the camera with a serious expression. The background is plain
white."
86ed89208b6b4fe6a617a6bce8046118.jpg,a small cabin with a tree and a cabin ,A small cabin in the middle of a snowy forest.,"The image shows a small wooden cabin nestled in the middle of a snowy
forest. The cabin is covered in a thick layer of snow, and the trees
surrounding it are also blanketed in a layer of white. The sky is
overcast and the overall mood of the image is peaceful and serene. The
trees are tall and slender, with their branches reaching up towards
the sky. The ground is also covered in snow, creating a dappled effect
on the cabin and the surrounding landscape. The overall color palette
is mostly white and gray, with some hints of blue and green."
941e8b99c89b46a58fa8ec9b2183c227.jpg,a pizza sitting on top of a table next to a candle ,A large pepperoni pizza sitting on top of a table.,"The image shows a large pepperoni pizza on a wooden table with a red
and white checkered tablecloth. The pizza is round and has a golden
brown crust. It is topped with red pepperoni slices and melted cheese.
There is a blue and white striped napkin on the table next to the
pizza. On the right side of the table, there is a basket of fresh
tomatoes, a bottle of olive oil, and a small bowl of salt. A knife and
fork are placed on the napkin, suggesting that the pizza is ready to
be served. The background is dark, making the pizza stand out even
more."
74d4d304b9574864b75ee06a8571778d.jpg,a red and white stuffed animal and a red and white stuffed animal ,A red and silver christmas ornament sitting on top of a table.,"The image is a close-up of a red Christmas bauble with a gold ribbon
tied around it. The bauble is placed on a bed of silver and gold
tinsel. There are also two silver baubles scattered around the bauble.
The background is blurred, but it appears to be a silver glittery
surface. The overall mood of the image is festive and cheerful."
d7e4d931559d44f2bcb77f47b23ba702.jpg,a rocky beach with a large rock and a mountain ,A rock formation on the beach with a blue sky in the background.,"The image is a photograph of a beach with a large rock formation in
the center. The rock formation is made up of multiple layers of
different shades of brown and green, with some areas appearing to be
eroded and eroded. The sky is a clear blue, and the water is a light
blue-green color. The beach is sandy and the waves are gently crashing
onto the shore. The reflection of the rock formation can be seen in
the water, creating a mirror-like effect on the sand. The overall mood
of the image is peaceful and serene."
da4a38351bbf476e8d2f9847c53ff226.jpg,a green grassy field with a green plant ,a close up of a plant with green leaves ,"The image is a close-up of a group of green leaves. The leaves are
long and slender, with a pointed tip at the top. They are arranged in
a cluster, with some overlapping each other. The background is
blurred, making the leaves the focal point of the image. The color of
the leaves is a bright, vibrant green, and they appear to be fresh and
healthy. The image is taken from a low angle, so the leaves are the
only source of light in the frame."
30a1631b17e8441fa2cbdb89e5823291.jpg,a woman in a dress sitting on a wooden table ,A woman in a wedding dress sitting at a table.,"The image shows a young woman sitting at a table with a rose gold
sequin tablecloth. She is wearing a white wedding dress with a deep
V-neckline and a long train. She has a flower crown on her head and is
looking off to the side with a thoughtful expression on her face. On
the table, there are several white candles and a bouquet of pink and
red flowers. The background is a white wall with a decorative molding.
The overall mood of the image is elegant and romantic."
6c45f033fc2344f2af34a1e3503b786c.jpg,a plate of fruit with a lemon and a grapefruit ,A plate of fruit on a wooden table. ,"The image is a close-up of a plate of fruit salad. The plate is white
with a blue and white striped pattern. On the plate, there are several
slices of watermelon arranged in a circular pattern. The watermelon
slices are cut into thin slices and are covered in a light dusting of
powdered sugar. There are also two small green grapes and a strawberry
on the plate. The background is blurred, but it appears to be a wooden
table."
ab09b5cff2c94f738d8948a668db00b0.jpg,a bowl of fruit with a small amount of leaves ,A wooden bowl filled with blueberries and mint leaves.,"The image is a close-up of a wooden bowl filled with dark blueberries.
The bowl is made of light-colored wood and has a smooth texture. The
berries are clustered together in the bowl, with some of them
overlapping each other. There are two green leaves on top of the
berries, one on each side of the bowl. The background is a plain grey
surface. The overall mood of the image is fresh and natural."
